1: 255r 255g 255b 2: 0r 128g 0b
Sensor 1 setup: complete
Sensor 2 setup: complete
Booted!
Looping...
Range1: 2 Status1: 0 Range2: 35 Status2: 0
Range1: 3 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 36 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 3 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 42 Status2: 0
Range1: 2 Status1: 0 Range2: 41 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 1 Status1: 0 Range2: 41 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 1 Status1: 0 Range2: 36 Status2: 0
Range1: 3 Status1: 0 Range2: 34 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 3 Status1: 0 Range2: 37 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 37 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 3 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 41 Status2: 0
Range1: 3 Status1: 0 Range2: 36 Status2: 0
Range1: 1 Status1: 0 Range2: 36 Status2: 0
Range1: 1 Status1: 0 Range2: 42 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 5 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 0 Status1: 0 Range2: 35 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 3 Status1: 0 Range2: 40 Status2: 0
Range1: 0 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 41 Status2: 0
Range1: 3 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 0 Status1: 0 Range2: 37 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 1 Status1: 0 Range2: 36 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 37 Status2: 0
Range1: 1 Status1: 0 Range2: 41 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 43 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 37 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 1 Status1: 0 Range2: 42 Status2: 0
Range1: 2 Status1: 0 Range2: 42 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 36 Status2: 0
Range1: 1 Status1: 0 Range2: 42 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 1 Status1: 0 Range2: 41 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 1 Status1: 0 Range2: 41 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 3 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 36 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 3 Status1: 0 Range2: 43 Status2: 0
Range1: 3 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 41 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 3 Status1: 0 Range2: 40 Status2: 0
Range1: 3 Status1: 0 Range2: 36 Status2: 0
Range1: 0 Status1: 0 Range2: 37 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 3 Status1: 0 Range2: 41 Status2: 0
Range1: 3 Status1: 0 Range2: 42 Status2: 0
Range1: 2 Status1: 0 Range2: 37 Status2: 0
Range1: 0 Status1: 0 Range2: 41 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 3 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 4 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 37 Status2: 0
Range1: 1 Status1: 0 Range2: 41 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 3 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 3 Status1: 0 Range2: 37 Status2: 0
Range1: 2 Status1: 0 Range2: 41 Status2: 0
Range1: 4 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 41 Status2: 0
Range1: 1 Status1: 0 Range2: 42 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 1 Status1: 0 Range2: 39 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 3 Status1: 0 Range2: 34 Status2: 0
Range1: 3 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 36 Status2: 0
Range1: 3 Status1: 0 Range2: 40 Status2: 0
Range1: 3 Status1: 0 Range2: 40 Status2: 0
Range1: 3 Status1: 0 Range2: 37 Status2: 0
Range1: 3 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 4 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 37 Status2: 0
Range1: 2 Status1: 0 Range2: 39 Status2: 0
Range1: 1 Status1: 0 Range2: 40 Status2: 0
Range1: 4 Status1: 0 Range2: 38 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 37 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 3 Status1: 0 Range2: 39 Status2: 0
Range1: 2 Status1: 0 Range2: 40 Status2: 0
Range1: 1 Status1: 0 Range2: 38 Status2: 0
Range1: 1 Status1: 0 Range2: 35 Status2: 0
Range1: 2 Status1: 0 Range2: 38 Status2: 0
Range1: 3 Status1: 0 Range2: 38 Status2: 0
